# Reference: Abbasi et al (2022)
# Data obtained using WebPlotDigitizer
#
# Energy [GeV]	E^2*flux [GeV cm^-2 s^-1 sr-1]
1.48467e+4	1.65270e-8
1.58956e+4	1.62045e-8
1.71743e+4	1.59586e-8
1.83079e+4	1.57038e-8
1.98822e+4	1.54304e-8
2.15918e+4	1.50894e-8
2.34485e+4	1.47735e-8
2.54648e+4	1.45395e-8
2.76544e+4	1.42465e-8
3.00914e+4	1.39111e-8
3.26148e+4	1.36147e-8
3.54193e+4	1.32695e-8
3.84649e+4	1.29710e-8
4.16087e+4	1.26624e-8
4.53644e+4	1.23891e-8
4.92652e+4	1.21831e-8
5.35014e+4	1.18996e-8
5.81019e+4	1.16644e-8
6.30980e+4	1.14021e-8
6.85237e+4	1.11322e-8
7.44159e+4	1.08862e-8
8.08148e+4	1.06201e-8
8.77639e+4	1.03812e-8
9.53105e+4	1.01558e-8
1.03506e+5	9.96703e-9
1.12406e+5	9.72341e-9
1.22072e+5	9.54270e-9
1.32569e+5	9.35041e-9
1.43968e+5	9.10731e-9
1.56348e+5	8.89889e-9
1.69792e+5	8.68831e-9
1.84392e+5	8.47594e-9
2.00247e+5	8.27537e-9
2.17466e+5	8.08276e-9
2.36166e+5	7.89780e-9
2.56473e+5	7.71706e-9
2.78527e+5	7.51642e-9
3.02477e+5	7.31224e-9
3.28486e+5	7.13351e-9
3.56732e+5	6.91760e-9
3.87406e+5	6.71359e-9
4.20719e+5	6.52600e-9
4.56896e+5	6.34872e-9
4.96183e+5	6.16805e-9
5.38849e+5	5.97262e-9
5.85184e+5	5.77799e-9
6.35502e+5	5.59864e-9
6.90148e+5	5.42269e-9
7.49493e+5	5.25228e-9
8.13940e+5	5.10145e-9
8.59280e+5	4.96247e-9
9.21149e+5	4.80242e-9
9.94480e+5	4.60777e-9
1.07999e+6	4.47187e-9
1.17286e+6	4.31408e-9
1.26623e+6	4.16269e-9
1.35900e+6	4.03482e-9
1.46263e+6	3.88318e-9
1.59335e+6	3.72327e-9
1.71009e+6	3.60885e-9
1.84081e+6	3.46012e-9
2.01471e+6	3.33547e-9
2.19025e+6	3.22493e-9
2.37858e+6	3.11362e-9
2.55285e+6	3.00448e-9
2.73989e+6	2.89777e-9
2.94930e+6	2.78189e-9
3.15607e+6	2.69258e-9
3.42746e+6	2.59757e-9
3.70031e+6	2.50925e-9
3.99489e+6	2.40786e-9
4.31291e+6	2.31719e-9
4.65625e+6	2.23915e-9
5.03531e+6	2.13732e-9
