# Reference: Abbasi et al (2022)
# Data obtained using WebPlotDigitizer
#
# Energy [GeV]	E^2*flux [GeV cm^-2 s^-1 sr-1]
1.48073e+4	4.37696e-8
1.54323e+4	4.27919e-8
1.66608e+4	4.11093e-8
1.80935e+4	3.97221e-8
1.96493e+4	3.82747e-8
2.13389e+4	3.68358e-8
2.30376e+4	3.55692e-8
2.47255e+4	3.42366e-8
2.66939e+4	3.30593e-8
2.89892e+4	3.18928e-8
3.14819e+4	3.08412e-8
3.37885e+4	2.97174e-8
3.62640e+4	2.87146e-8
3.93823e+4	2.76793e-8
4.20193e+4	2.68362e-8
4.81177e+4	2.52615e-8
5.22552e+4	2.43507e-8
5.67485e+4	2.34073e-8
6.09063e+4	2.28533e-8
6.52403e+4	2.20670e-8
7.04340e+4	2.13911e-8
7.57430e+4	2.05131e-8
8.17727e+4	1.98658e-8
8.88042e+4	1.92108e-8
9.64403e+4	1.85551e-8
1.05476e+5	1.78718e-8
1.12406e+5	1.74475e-8
1.25229e+5	1.66351e-8
1.33352e+5	1.61843e-8
1.42281e+5	1.56163e-8
1.54516e+5	1.52164e-8
1.63894e+5	1.48761e-8
1.76941e+5	1.43121e-8
1.89037e+5	1.39499e-8
1.90259e+5	1.39499e-8
2.02621e+5	1.35965e-8
2.20044e+5	1.32325e-8
2.38965e+5	1.28064e-8
2.56473e+5	1.25053e-8
3.06062e+5	1.16831e-8
3.32380e+5	1.12934e-8
3.60960e+5	1.09953e-8
3.91999e+5	1.06668e-8
4.25706e+5	1.03440e-8
4.62312e+5	1.00710e-8
5.02065e+5	9.75061e-9
5.47383e+5	9.45613e-9
5.87949e+5	9.30499e-9
6.43036e+5	9.03850e-9
6.98329e+5	8.79999e-9
7.53922e+5	8.60720e-9
8.09158e+5	8.42871e-9
8.71341e+5	8.24496e-9
9.41435e+5	8.04574e-9
1.00627e+6	7.89149e-9
1.09280e+6	7.68939e-9
1.18676e+6	7.52543e-9
1.28881e+6	7.30640e-9
1.39963e+6	7.13635e-9
1.51999e+6	6.95359e-9
1.65069e+6	6.78633e-9
1.79263e+6	6.62838e-9
1.94677e+6	6.48187e-9
2.11417e+6	6.33606e-9
2.29596e+6	6.22079e-9
2.49339e+6	6.09787e-9
2.70779e+6	5.95833e-9
2.94063e+6	5.83594e-9
3.19349e+6	5.70466e-9
3.46809e+6	5.58302e-9
3.76630e+6	5.45526e-9
4.09016e+6	5.31767e-9
4.44186e+6	5.21468e-9
4.82381e+6	5.10960e-9
5.09844e+6	5.03978e-9
