Name,f_Name,E_MeV,E_low_MeV,E_high_MeV,Flux_MeV_cm2_s,e_Flux_MeV_cm2_s,Limit_MeV_cm2_s
Arp 299,b,131.607,100.000,173.205,,,4.56e-07
Arp 299,b,227.950,173.205,299.999,,,6.99e-07
Arp 299,b,405.359,299.999,547.722,,,2.43e-07
Arp 299,b,740.082,547.722,1000.000,,,2.21e-07
Arp 299,b,1337.273,1000.000,1788.298,1.50e-07,6.66e-08,
Arp 299,b,2391.470,1788.298,3198.085,,,1.51e-07
Arp 299,b,4276.712,3198.085,5719.130,,,1.81e-07
Arp 299,b,7648.037,5719.130,10227.512,1.30e-07,7.34e-08,
Arp 299,b,13676.973,10227.512,18289.844,,,3.44e-07
Arp 299,b,24458.792,18289.844,32708.453,,,1.35e-07
Arp 299,b,43740.123,32708.453,58492.475,,,4.55e-07
Arp 299,b,78220.394,58492.475,104602.003,,,9.01e-07
Arp 299,b,139881.410,104602.003,187059.599,,,6.02e-07
Arp 299,b,250152.588,187059.599,334526.094,,,1.10e-06
Arp 299,b,447352.635,334526.094,598232.496,,,1.98e-06
